"indice_tiempo","partida","valor"
"2018-01-01","2812 - Halogenuros y oxihalogenuros de los elementos no metalicos.","88"
"2018-01-01","2813 - Sulfuros de los elementos no metalicos; trisulfuro de fosforo comercial.","0"
"2018-01-01","2814 - Amoniaco anhidro o en disolucion acuosa.","2"
"2018-01-01","2815 - Hidroxido de sodio (sosa o soda caustica); hidroxido de potasio (potasa caustica); peroxidos de sodio o de potasio.","1641"
"2018-01-01","2816 - Hidroxido y peroxido de magnesio; oxidos, hidroxidos y peroxidos, de estroncio o de bario.","13"
"2018-01-01","2817 - Sxido de cinc; persxido de cinc.","305"
"2018-01-01","2818 - Corindon artificial, aunque no sea quimicamente definido; oxido de aluminio; hidroxido de aluminio.","40995"
"2018-01-01","2819 - Oxidos e hidroxidos de cromo.","20"
"2018-01-01","2820 - Oxidos de manganeso.","116"
"2018-01-01","2821 - Oxidos e hidroxidos de hierro; tierras colorantes con un contenido de hierro combinado, expresado en fe2o3, superior o igual al 70% en peso.","132"
"2018-01-01","2822 - Sxidos e hidrsxidos de cobalto; sxidos de cobalto comerciales.","80"
"2018-01-01","2823 - Sxidos de titanio.","198"
"2018-01-01","2824 - Oxidos de plomo; minio y minio anaranjado.","7"
"2018-01-01","2825 - Hidrazina e hidroxilamina y sus sales inorganicas; las demas bases inorganicas; los demas oxidos, hidroxidos y peroxidos de metales.","656"
"2018-01-01","2826 - Fluoruros; fluorosilicatos, fluoroaluminatos y demas sales complejas de fluor.","435"
"2018-01-01","2827 - Cloruros, oxicloruros e hidroxicloruros; bromuros y oxibromuros; yoduros y oxiyoduros.","990"
"2018-01-01","2828 - Hipoclorito; hipoclorito de calcio comercial; cloritos; hipobromitos.","175"
